Fecha,Cliente,Concepto,Importe
2024-02-08,Gamma Logística,Revisión anual de equipos,519.22
2024-02-09,Zeta Construcciones S.L.,Formación interna,598.41
2024-02-10,Acme Distribuciones S.L.,Consultoría técnica,677.60
2024-02-11,Delta Servicios Técnicos,Servicio de mantenimiento,756.79
2024-02-12,Eta Farmacia Central,Compra de material informático,835.98
2024-02-13,Beta Consultores S.A.,Transporte de mercancía,915.17
2024-02-14,Epsilon Hostelería,Revisión anual de equipos,994.36
2024-02-15,Theta Mobiliario,Formación interna,1073.55
2024-02-16,Gamma Logística,Consultoría técnica,1152.74
2024-02-17,Zeta Construcciones S.L.,Servicio de mantenimiento,1231.93
2024-02-18,Acme Distribuciones S.L.,Compra de material informático,1311.12
2024-02-19,Delta Servicios Técnicos,Transporte de mercancía,1390.31
2024-02-20,Eta Farmacia Central,Revisión anual de equipos,1469.50
2024-02-21,Beta Consultores S.A.,Formación interna,1548.69
2024-02-22,Epsilon Hostelería,Consultoría técnica,1627.88
2024-02-23,Theta Mobiliario,Servicio de mantenimiento,1707.07
2024-02-24,Gamma Logística,Compra de material informático,1786.26
2024-02-25,Zeta Construcciones S.L.,Transporte de mercancía,1865.45
2024-02-26,Acme Distribuciones S.L.,Revisión anual de equipos,1944.64
2024-02-27,Delta Servicios Técnicos,Formación interna,2023.83
2024-02-28,Eta Farmacia Central,Consultoría técnica,2103.02
2024-02-29,Beta Consultores S.A.,Servicio de mantenimiento,2182.21
2024-03-01,Epsilon Hostelería,Compra de material informático,2261.40
2024-03-02,Theta Mobiliario,Transporte de mercancía,2340.59
2024-03-03,Gamma Logística,Revisión anual de equipos,2419.78
2024-03-04,Zeta Construcciones S.L.,Formación interna,2498.97
2024-03-05,Acme Distribuciones S.L.,Consultoría técnica,78.16
2024-03-06,Delta Servicios Técnicos,Servicio de mantenimiento,157.35
2024-03-07,Eta Farmacia Central,Compra de material informático,236.54
2024-03-08,Beta Consultores S.A.,Transporte de mercancía,315.73
2024-03-09,Epsilon Hostelería,Revisión anual de equipos,394.92
2024-03-10,Theta Mobiliario,Formación interna,474.11
2024-03-11,Gamma Logística,Consultoría técnica,553.30
2024-03-12,Zeta Construcciones S.L.,Servicio de mantenimiento,632.49
2024-03-13,Acme Distribuciones S.L.,Compra de material informático,711.68
2024-03-14,Delta Servicios Técnicos,Transporte de mercancía,790.87
2024-03-15,Eta Farmacia Central,Revisión anual de equipos,870.06
2024-03-16,Beta Consultores S.A.,Formación interna,949.25
2024-03-17,Epsilon Hostelería,Consultoría técnica,1028.44
2024-03-18,Theta Mobiliario,Servicio de mantenimiento,1107.63
2024-03-19,Gamma Logística,Compra de material informático,1186.82
2024-03-20,Zeta Construcciones S.L.,Transporte de mercancía,1266.01
2024-03-21,Acme Distribuciones S.L.,Revisión anual de equipos,1345.20
2024-03-22,Delta Servicios Técnicos,Formación interna,1424.39
2024-03-23,Eta Farmacia Central,Consultoría técnica,1503.58
2024-03-24,Beta Consultores S.A.,Servicio de mantenimiento,1582.77
2024-03-25,Epsilon Hostelería,Compra de material informático,1661.96
2024-03-26,Theta Mobiliario,Transporte de mercancía,1741.15
2024-03-27,Gamma Logística,Revisión anual de equipos,1820.34
2024-03-28,Zeta Construcciones S.L.,Formación interna,1899.53
2024-03-29,Acme Distribuciones S.L.,Consultoría técnica,1978.72
2024-03-30,Delta Servicios Técnicos,Servicio de mantenimiento,2057.91
2024-03-31,Eta Farmacia Central,Compra de material informático,2137.10
2024-04-01,Beta Consultores S.A.,Transporte de mercancía,2216.29
2024-04-02,Epsilon Hostelería,Revisión anual de equipos,2295.48
2024-04-03,Theta Mobiliario,Formación interna,2374.67
2024-04-04,Gamma Logística,Consultoría técnica,2453.86
2024-04-05,Zeta Construcciones S.L.,Servicio de mantenimiento,33.05
2024-04-06,Acme Distribuciones S.L.,Compra de material informático,112.24
2024-04-07,Delta Servicios Técnicos,Transporte de mercancía,191.43
2024-04-08,Eta Farmacia Central,Revisión anual de equipos,270.62
2024-04-09,Beta Consultores S.A.,Formación interna,349.81
2024-04-10,Epsilon Hostelería,Consultoría técnica,429.00
2024-04-11,Theta Mobiliario,Servicio de mantenimiento,508.19
2024-04-12,Gamma Logística,Compra de material informático,587.38
2024-04-13,Zeta Construcciones S.L.,Transporte de mercancía,666.57
2024-04-14,Acme Distribuciones S.L.,Revisión anual de equipos,745.76
2024-04-15,Delta Servicios Técnicos,Formación interna,824.95
2024-04-16,Eta Farmacia Central,Consultoría técnica,904.14
2024-04-17,Beta Consultores S.A.,Servicio de mantenimiento,983.33
2024-04-18,Epsilon Hostelería,Compra de material informático,1062.52
2024-04-19,Theta Mobiliario,Transporte de mercancía,1141.71
2024-04-20,Gamma Logística,Revisión anual de equipos,1220.90
2024-04-21,Zeta Construcciones S.L.,Formación interna,1300.09
2024-04-22,Acme Distribuciones S.L.,Consultoría técnica,1379.28
2024-04-23,Delta Servicios Técnicos,Servicio de mantenimiento,1458.47
2024-04-24,Eta Farmacia Central,Compra de material informático,1537.66
2024-04-25,Beta Consultores S.A.,Transporte de mercancía,1616.85
2024-04-26,Epsilon Hostelería,Revisión anual de equipos,1696.04
2024-04-27,Theta Mobiliario,Formación interna,1775.23
2024-04-28,Gamma Logística,Consultoría técnica,1854.42
2024-04-29,Zeta Construcciones S.L.,Servicio de mantenimiento,1933.61
2024-04-30,Acme Distribuciones S.L.,Compra de material informático,2012.80
2024-05-01,Delta Servicios Técnicos,Transporte de mercancía,2091.99
2024-05-02,Eta Farmacia Central,Revisión anual de equipos,2171.18
2024-05-03,Beta Consultores S.A.,Formación interna,2250.37
2024-05-04,Epsilon Hostelería,Consultoría técnica,2329.56
2024-05-05,Theta Mobiliario,Servicio de mantenimiento,2408.75
2024-05-06,Gamma Logística,Compra de material informático,2487.94
2024-05-07,Zeta Construcciones S.L.,Transporte de mercancía,67.13
2024-05-08,Acme Distribuciones S.L.,Revisión anual de equipos,146.32
2024-05-09,Delta Servicios Técnicos,Formación interna,225.51
2024-05-10,Eta Farmacia Central,Consultoría técnica,304.70
2024-05-11,Beta Consultores S.A.,Servicio de mantenimiento,383.89
2024-05-12,Epsilon Hostelería,Compra de material informático,463.08
2024-05-13,Theta Mobiliario,Transporte de mercancía,542.27
2024-05-14,Gamma Logística,Revisión anual de equipos,621.46
2024-05-15,Zeta Construcciones S.L.,Formación interna,700.65
2024-05-16,Acme Distribuciones S.L.,Consultoría técnica,779.84
2024-05-17,Delta Servicios Técnicos,Servicio de mantenimiento,859.03
2024-05-18,Eta Farmacia Central,Compra de material informático,938.22
2024-05-19,Beta Consultores S.A.,Transporte de mercancía,1017.41
2024-05-20,Epsilon Hostelería,Revisión anual de equipos,1096.60
2024-05-21,Theta Mobiliario,Formación interna,1175.79
2024-05-22,Gamma Logística,Consultoría técnica,1254.98
2024-05-23,Zeta Construcciones S.L.,Servicio de mantenimiento,1334.17
2024-05-24,Acme Distribuciones S.L.,Compra de material informático,1413.36
2024-05-25,Delta Servicios Técnicos,Transporte de mercancía,1492.55
2024-05-26,Eta Farmacia Central,Revisión anual de equipos,1571.74
2024-05-27,Beta Consultores S.A.,Formación interna,1650.93
2024-05-28,Epsilon Hostelería,Consultoría técnica,1730.12
2024-05-29,Theta Mobiliario,Servicio de mantenimiento,1809.31
2024-05-30,Gamma Logística,Compra de material informático,1888.50
2024-05-31,Zeta Construcciones S.L.,Transporte de mercancía,1967.69
2024-06-01,Acme Distribuciones S.L.,Revisión anual de equipos,2046.88
2024-06-02,Delta Servicios Técnicos,Formación interna,2126.07
2024-06-03,Eta Farmacia Central,Consultoría técnica,2205.26
2024-06-04,Beta Consultores S.A.,Servicio de mantenimiento,2284.45
2024-06-05,Epsilon Hostelería,Compra de material informático,2363.64
2024-06-06,Theta Mobiliario,Transporte de mercancía,2442.83
2024-06-07,Gamma Logística,Revisión anual de equipos,22.02
2024-06-08,Zeta Construcciones S.L.,Formación interna,101.21
2024-06-09,Acme Distribuciones S.L.,Consultoría técnica,180.40
2024-06-10,Delta Servicios Técnicos,Servicio de mantenimiento,259.59
2024-06-11,Eta Farmacia Central,Compra de material informático,338.78
2024-06-12,Beta Consultores S.A.,Transporte de mercancía,417.97
2024-06-13,Epsilon Hostelería,Revisión anual de equipos,497.16
2024-06-14,Theta Mobiliario,Formación interna,576.35
2024-06-15,Gamma Logística,Consultoría técnica,655.54
2024-06-16,Zeta Construcciones S.L.,Servicio de mantenimiento,734.73
2024-06-17,Acme Distribuciones S.L.,Compra de material informático,813.92
2024-06-18,Delta Servicios Técnicos,Transporte de mercancía,893.11
2024-06-19,Eta Farmacia Central,Revisión anual de equipos,972.30
2024-06-20,Beta Consultores S.A.,Formación interna,1051.49
2024-06-21,Epsilon Hostelería,Consultoría técnica,1130.68
2024-06-22,Theta Mobiliario,Servicio de mantenimiento,1209.87
2024-06-23,Gamma Logística,Compra de material informático,1289.06
2024-06-24,Zeta Construcciones S.L.,Transporte de mercancía,1368.25
2024-06-25,Acme Distribuciones S.L.,Revisión anual de equipos,1447.44
2024-06-26,Delta Servicios Técnicos,Formación interna,1526.63
2024-06-27,Eta Farmacia Central,Consultoría técnica,1605.82
2024-06-28,Beta Consultores S.A.,Servicio de mantenimiento,1685.01
2024-06-29,Epsilon Hostelería,Compra de material informático,1764.20
2024-06-30,Theta Mobiliario,Transporte de mercancía,1843.39
2024-07-01,Gamma Logística,Revisión anual de equipos,1922.58
2024-07-02,Zeta Construcciones S.L.,Formación interna,2001.77
2024-07-03,Acme Distribuciones S.L.,Consultoría técnica,2080.96
2024-07-04,Delta Servicios Técnicos,Servicio de mantenimiento,2160.15
2024-07-05,Eta Farmacia Central,Compra de material informático,2239.34
2024-07-06,Beta Consultores S.A.,Transporte de mercancía,2318.53
2024-07-07,Epsilon Hostelería,Revisión anual de equipos,2397.72
2024-07-08,Theta Mobiliario,Formación interna,2476.91
2024-07-09,Gamma Logística,Consultoría técnica,56.10
2024-07-10,Zeta Construcciones S.L.,Servicio de mantenimiento,135.29
2024-07-11,Acme Distribuciones S.L.,Compra de material informático,214.48
2024-07-12,Delta Servicios Técnicos,Transporte de mercancía,293.67
2024-07-13,Eta Farmacia Central,Revisión anual de equipos,372.86
2024-07-14,Beta Consultores S.A.,Formación interna,452.05
2024-07-15,Epsilon Hostelería,Consultoría técnica,531.24
2024-07-16,Theta Mobiliario,Servicio de mantenimiento,610.43
2024-07-17,Gamma Logística,Compra de material informático,689.62
2024-07-18,Zeta Construcciones S.L.,Transporte de mercancía,768.81
2024-07-19,Acme Distribuciones S.L.,Revisión anual de equipos,848.00
2024-07-20,Delta Servicios Técnicos,Formación interna,927.19
2024-07-21,Eta Farmacia Central,Consultoría técnica,1006.38
2024-07-22,Beta Consultores S.A.,Servicio de mantenimiento,1085.57
2024-07-23,Epsilon Hostelería,Compra de material informático,1164.76
2024-07-24,Theta Mobiliario,Transporte de mercancía,1243.95
2024-07-25,Gamma Logística,Revisión anual de equipos,1323.14
2024-07-26,Zeta Construcciones S.L.,Formación interna,1402.33
2024-07-27,Acme Distribuciones S.L.,Consultoría técnica,1481.52
2024-07-28,Delta Servicios Técnicos,Servicio de mantenimiento,1560.71
2024-07-29,Eta Farmacia Central,Compra de material informático,1639.90
2024-07-30,Beta Consultores S.A.,Transporte de mercancía,1719.09
2024-07-31,Epsilon Hostelería,Revisión anual de equipos,1798.28
2024-08-01,Theta Mobiliario,Formación interna,1877.47
2024-08-02,Gamma Logística,Consultoría técnica,1956.66
2024-08-03,Zeta Construcciones S.L.,Servicio de mantenimiento,2035.85
2024-08-04,Acme Distribuciones S.L.,Compra de material informático,2115.04
2024-08-05,Delta Servicios Técnicos,Transporte de mercancía,2194.23
2024-08-06,Eta Farmacia Central,Revisión anual de equipos,2273.42
2024-08-07,Beta Consultores S.A.,Formación interna,2352.61
Nota 01: importes provisionales hasta el cierre contable del periodo; revise la partida 01 antes de conciliar con el extracto bancario
Nota 02: importes provisionales hasta el cierre contable del periodo; revise la partida 02 antes de conciliar con el extracto bancario
Nota 03: importes provisionales hasta el cierre contable del periodo; revise la partida 03 antes de conciliar con el extracto bancario
Nota 04: importes provisionales hasta el cierre contable del periodo; revise la partida 04 antes de conciliar con el extracto bancario
Nota 05: importes provisionales hasta el cierre contable del periodo; revise la partida 05 antes de conciliar con el extracto bancario
Nota 06: importes provisionales hasta el cierre contable del periodo; revise la partida 06 antes de conciliar con el extracto bancario
Nota 07: importes provisionales hasta el cierre contable del periodo; revise la partida 07 antes de conciliar con el extracto bancario
Nota 08: importes provisionales hasta el cierre contable del periodo; revise la partida 08 antes de conciliar con el extracto bancario
Nota 09: importes provisionales hasta el cierre contable del periodo; revise la partida 09 antes de conciliar con el extracto bancario
Nota 10: importes provisionales hasta el cierre contable del periodo; revise la partida 10 antes de conciliar con el extracto bancario
Nota 11: importes provisionales hasta el cierre contable del periodo; revise la partida 11 antes de conciliar con el extracto bancario
Nota 12: importes provisionales hasta el cierre contable del periodo; revise la partida 12 antes de conciliar con el extracto bancario
Nota 13: importes provisionales hasta el cierre contable del periodo; revise la partida 13 antes de conciliar con el extracto bancario
Nota 14: importes provisionales hasta el cierre contable del periodo; revise la partida 14 antes de conciliar con el extracto bancario
Nota 15: importes provisionales hasta el cierre contable del periodo; revise la partida 15 antes de conciliar con el extracto bancario
Nota 16: importes provisionales hasta el cierre contable del periodo; revise la partida 16 antes de conciliar con el extracto bancario
Nota 17: importes provisionales hasta el cierre contable del periodo; revise la partida 17 antes de conciliar con el extracto bancario
Nota 18: importes provisionales hasta el cierre contable del periodo; revise la partida 18 antes de conciliar con el extracto bancario
Nota 19: importes provisionales hasta el cierre contable del periodo; revise la partida 19 antes de conciliar con el extracto bancario
Nota 20: importes provisionales hasta el cierre contable del periodo; revise la partida 20 antes de conciliar con el extracto bancario
Nota 21: importes provisionales hasta el cierre contable del periodo; revise la partida 21 antes de conciliar con el extracto bancario
Nota 22: importes provisionales hasta el cierre contable del periodo; revise la partida 22 antes de conciliar con el extracto bancario
Nota 23: importes provisionales hasta el cierre contable del periodo; revise la partida 23 antes de conciliar con el extracto bancario
Nota 24: importes provisionales hasta el cierre contable del periodo; revise la partida 24 antes de conciliar con el extracto bancario
Nota 25: importes provisionales hasta el cierre contable del periodo; revise la partida 25 antes de conciliar con el extracto bancario
Nota 26: importes provisionales hasta el cierre contable del periodo; revise la partida 26 antes de conciliar con el extracto bancario
Nota 27: importes provisionales hasta el cierre contable del periodo; revise la partida 27 antes de conciliar con el extracto bancario
Nota 28: importes provisionales hasta el cierre contable del periodo; revise la partida 28 antes de conciliar con el extracto bancario
Nota 29: importes provisionales hasta el cierre contable del periodo; revise la partida 29 antes de conciliar con el extracto bancario
Nota 30: importes provisionales hasta el cierre contable del periodo; revise la partida 30 antes de conciliar con el extracto bancario
Nota 31: importes provisionales hasta el cierre contable del periodo; revise la partida 31 antes de conciliar con el extracto bancario
Nota 32: importes provisionales hasta el cierre contable del periodo; revise la partida 32 antes de conciliar con el extracto bancario
Nota 33: importes provisionales hasta el cierre contable del periodo; revise la partida 33 antes de conciliar con el extracto bancario
Nota 34: importes provisionales hasta el cierre contable del periodo; revise la partida 34 antes de conciliar con el extracto bancario
Nota 35: importes provisionales hasta el cierre contable del periodo; revise la partida 35 antes de conciliar con el extracto bancario
Nota 36: importes provisionales hasta el cierre contable del periodo; revise la partida 36 antes de conciliar con el extracto bancario
Nota 37: importes provisionales hasta el cierre contable del periodo; revise la partida 37 antes de conciliar con el extracto bancario
Nota 38: importes provisionales hasta el cierre contable del periodo; revise la partida 38 antes de conciliar con el extracto bancario
Nota 39: importes provisionales hasta el cierre contable del periodo; revise la partida 39 antes de conciliar con el extracto bancario
Nota 40: importes provisionales hasta el cierre contable del periodo; revise la partida 40 antes de conciliar con el extracto bancario
