"Fecha"|"Cliente"|"Importe"|"Concepto"|"Cantidad"|"Región"|"Código"|"Estado"|"Fecha_2"|"Cliente_2"|"Importe_2"|"Concepto_2"
2023-04-21|"Taller ""El Rápido"""|3.066,68|Transporte de mercancía|426|Aragón|B-9565|En revisión|2023-04-29|Fernández, Asociados|2.891,55|Compra de material informático
2023-04-22|"Taller ""El Rápido"""|1.641,23|Servicio de mantenimiento|227|Aragón|D-6471|Pagado|2023-04-30|Muñoz Hermanos|1.459,88|Revisión anual de equipos
2023-04-23|Acme Distribuciones S.L.|2.208,51|Consultoría técnica|366|Aragón|B-3790|Anulado|2023-05-01|Acme Distribuciones S.L.|359,99|Formación interna
2023-04-24|Ibáñez Logística|3.400,36|Compra de material informático|128|Andalucía|F-9424|En revisión|2023-05-02|"Taller ""El Rápido"""
2023-04-25|García S.L.|3.782,83|Formación interna|221|Aragón|F-0800|Pendiente|2023-05-03|Peña & Hijos|4.996,83|Formación interna
2023-04-26|Muñoz Hermanos|2.874,28|Compra de material informático|151|País Vasco|G-1099|Anulado|2023-05-04|Acme Distribuciones S.L.|3,51|Compra de material informático
2023-04-27|Acme Distribuciones S.L.|680,39|Servicio de mantenimiento|168|Aragón|H-7770|Pendiente|2023-05-05|Muñoz Hermanos|3.281,71|Transporte de mercancía
2023-04-28|Núñez Ortega y Cía.|1.548,23|Servicio de mantenimiento|123|Madrid|B-0346|En revisión|2023-05-06|Muñoz Hermanos|1.016,95|Transporte de mercancía
2023-04-29|Fernández, Asociados|3.393,98|Formación interna|29|Andalucía|D-4082|Anulado|2023-05-07|Ibáñez Logística|4.412,74|Compra de material informático
2023-04-30|Ibáñez Logística|3.617,24|Compra de material informático|447|Aragón|H-8144|Anulado|2023-05-08|Núñez Ortega y Cía.|4.184,98|Formación interna
2023-05-01|Ibáñez Logística|348,61|Revisión anual de equipos|212|Cataluña|C-9239|En revisión|2023-05-09|Núñez Ortega y Cía.|1.543,88
2023-05-02|Ibáñez Logística|617,13|Compra de material informático|402|Madrid|A-5807|Pagado|2023-05-10|Peña & Hijos|3.730,25|Transporte de mercancía
